id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms,cosine,matched,shifted,unshifted,weight,delta,peaks,shifted_annotated_ratio,shifted_annotated_ambiguity,shifted_annotated_entropy
CCMSLIB00000848606,CCMSLIB00000847437,0.0,0.7272727272727273,0.7639570634309556,0.7619047619047619,22,0.9120070773680696,26,21,5,299.091,15.995000000000005,31,0.7619047619047619,22.0,1.0535054731160138
CCMSLIB00000848457,CCMSLIB00000847467,0.0,0.8666666666666667,0.5663031335392812,0.8108108108108109,38,0.7621272470001951,62,21,41,535.144,30.010999999999967,98,1.0,500.8095238095238,1.0306888224299593
CCMSLIB00000855790,CCMSLIB00000851149,0.0,0.8,0.7080655651813965,0.6666666666666666,19,0.8681468567628262,3,1,2,258.124,66.02199999999999,5,1.0,4.0,1.178350206951907
CCMSLIB00000845488,CCMSLIB00000845416,0.0,0.1428571428571428,0.2705888561507577,0.5,13,0.0725173241806999,4,1,3,177.054,68.06299999999999,45,1.0,6.0,0.0202579507548838
CCMSLIB00000848072,CCMSLIB00000846155,0.1111111111111111,1.0,0.8135541253177385,0.896551724137931,30,0.9963908178513476,2,0,2,419.097,176.06799999999998,8,0.0,-1.0,0.0
CCMSLIB00000849384,CCMSLIB00000849391,1.0,1.0,0.6347739635676818,1.0,27,0.6028911033905288,51,6,45,397.141,42.01099999999997,99,1.0,31.83333333333333,0.2466319201762677
CCMSLIB00000849064,CCMSLIB00005721272,0.0,0.8571428571428571,0.7579209475198467,0.9032258064516128,32,0.9996377928907942,10,0,10,449.108,30.012,11,0.0,-1.0,0.0
CCMSLIB00000846413,CCMSLIB00000846968,0.0,0.8333333333333334,0.4479260714978138,0.5862068965517241,30,0.9942132572329324,3,0,3,419.097,146.058,9,0.0,-1.0,0.0
CCMSLIB00000847957,CCMSLIB00000849003,0.0,0.6153846153846154,0.519864900606523,0.9166666666666666,25,0.9827717495697575,7,0,7,355.102,162.03200000000004,14,0.0,-1.0,0.0
CCMSLIB00000850413,CCMSLIB00000855151,0.0,0.3076923076923077,0.3357973209805192,0.6097560975609756,42,0.713610234115716,51,1,50,587.249,267.08899999999994,100,1.0,18.0,0.0664281374174033
CCMSLIB00000846905,CCMSLIB00000848221,0.0,0.0666666666666666,0.2438237102686997,0.935483870967742,32,0.3660564058623042,11,1,10,451.123,146.05800000000005,17,1.0,61.0,0.3438823795379743
CCMSLIB00000848249,CCMSLIB00000847858,1.0,1.0,0.3562973384501122,1.0,33,0.9957737389352194,9,1,8,465.102,42.01100000000002,12,1.0,40.0,0.4070549124997115
CCMSLIB00000848693,CCMSLIB00000848804,0.0,0.5,0.4684744921766592,0.0,22,0.5216040028531586,15,7,8,305.065,14.01600000000002,48,0.8571428571428571,34.5,0.3795321198775385
CCMSLIB00000845158,CCMSLIB00000848252,0.0,0.6666666666666666,0.3985119160312199,0.2195121951219512,42,0.9818349876196464,2,2,0,595.165,14.016000000000076,4,1.0,65.5,3.739912175790031
CCMSLIB00000845134,CCMSLIB00000847155,0.1,1.0,0.7701254690313692,0.7241379310344828,30,0.1464406855152071,1,1,0,421.149,13.978999999999983,14,1.0,36.0,0.243274680461635
CCMSLIB00000845108,CCMSLIB00000847478,0.25,1.0,0.7511282019843649,1.0,21,0.990388280164304,10,2,8,286.216,28.031999999999982,13,1.0,11.0,0.2665445155548945
CCMSLIB00000853434,CCMSLIB00000855051,0.0,0.5,0.3887064295140278,0.6666666666666666,34,0.6935857915561485,47,0,47,465.177,70.04200000000003,97,0.0,-1.0,0.0
CCMSLIB00000853244,CCMSLIB00000850495,0.0,0.5,0.3837140246429449,0.0952380952380952,22,0.119027400807923,6,2,4,301.216,15.995000000000005,63,1.0,19.0,0.0712291579963425
CCMSLIB00000848330,CCMSLIB00000847206,0.0,0.625,0.6165881896350004,0.6470588235294118,18,0.9850857035430546,15,15,0,243.065,15.995000000000005,22,0.7333333333333333,10.818181818181818,0.9322928468638187
CCMSLIB00000846397,CCMSLIB00000847814,0.0,0.9285714285714286,0.6277447843680994,0.88,26,0.1692463317474097,19,2,17,361.164,15.995000000000005,59,1.0,18.0,0.2556473861890483
CCMSLIB00000850695,CCMSLIB00000856005,0.0,0.6666666666666666,0.6987229290851499,0.7272727272727273,34,0.9950694663398396,11,0,11,475.233,15.995000000000005,14,0.0,-1.0,0.0
CCMSLIB00000845174,CCMSLIB00000847680,0.3333333333333333,1.0,0.5908646666694595,1.0,24,0.5198161821196229,7,0,7,347.133,132.043,51,0.0,-1.0,0.0
CCMSLIB00000847742,CCMSLIB00000847764,0.0,0.7,0.4953301303519308,0.7,21,0.9652278086163132,15,0,15,295.117,82.04199999999997,29,0.0,-1.0,0.0
CCMSLIB00000845060,CCMSLIB00000846710,0.0,0.5294117647058824,0.4584576718377871,0.4146341463414634,42,0.998969569498078,5,0,5,595.165,146.058,5,0.0,-1.0,0.0
CCMSLIB00000848698,CCMSLIB00000847616,0.0,0.2666666666666666,0.3975577968823726,0.6153846153846154,40,0.0989723971211681,16,1,15,543.128,15.995000000000005,25,1.0,284.0,0.326744991292583
CCMSLIB00000852343,CCMSLIB00005721415,0.0,0.5333333333333333,0.3582875759982233,0.4285714285714285,50,0.1485483771652029,28,0,28,695.27,84.09400000000005,56,0.0,-1.0,0.0
CCMSLIB00000850495,CCMSLIB00000849445,0.0,0.1,0.5504267732382894,0.7272727272727273,23,0.1313863656843837,7,3,4,317.211,15.995000000000005,34,1.0,27.0,0.2873462855956408
CCMSLIB00000846887,CCMSLIB00000845335,0.0,0.3333333333333333,0.1870374743882089,0.4545454545454545,12,0.7726545419329441,7,4,3,163.039,15.995000000000005,15,1.0,5.5,0.4127984592665373
CCMSLIB00000848585,CCMSLIB00000850036,0.0,0.75,0.7217243134973846,0.7307692307692307,27,0.6665288179490388,23,13,10,389.144,15.995000000000005,50,1.0,52.15384615384615,1.2192567936640264
CCMSLIB00000855819,CCMSLIB00000856082,0.0,0.4782608695652174,0.4251474439546186,0.7761194029850746,68,0.9754786946685818,59,0,59,971.521,132.039,100,0.0,-1.0,0.0
CCMSLIB00000847155,CCMSLIB00000848136,0.0,0.0,0.2029440901430038,0.7666666666666667,31,0.968380653977674,7,0,7,435.128,146.05800000000005,12,0.0,-1.0,0.0
CCMSLIB00000846155,CCMSLIB00000847164,0.0,0.8235294117647058,0.6265463621821571,0.5853658536585366,42,0.9975846271066814,5,3,2,595.165,30.01100000000008,5,1.0,123.66666666666669,3.841578266931138
CCMSLIB00000847638,CCMSLIB00000848643,0.5,1.0,0.3199028388246616,0.9411764705882352,18,0.0249965041159591,3,0,3,247.06,70.04199999999997,16,0.0,-1.0,0.0
CCMSLIB00000853336,CCMSLIB00005721866,0.0,0.8823529411764706,0.5912031561350838,0.717391304347826,47,0.9577880100266132,49,28,21,656.402,14.01699999999994,67,1.0,173.57142857142858,4.298689201471231
CCMSLIB00000848338,CCMSLIB00000848383,0.5,1.0,0.8272295374065106,0.9523809523809524,22,0.8531661991039948,36,22,14,303.086,15.995000000000005,80,0.9090909090909092,21.85,0.820732896069057
CCMSLIB00005721328,CCMSLIB00000847616,0.0,0.8666666666666667,0.6905503232871066,0.5641025641025641,40,0.2188611399650318,23,17,6,545.143,13.980000000000018,47,1.0,59.47058823529412,3.1937438840103245
CCMSLIB00000845418,CCMSLIB00000846135,0.0,0.25,0.1984653862731012,0.0526315789473684,20,0.167367603640736,6,4,2,273.112,13.978999999999983,27,0.75,3.333333333333333,0.5254685310651157
CCMSLIB00000848010,CCMSLIB00000847465,0.0,0.3333333333333333,0.3869655530797243,0.5833333333333334,25,0.392006620339189,24,19,5,349.092,33.96100000000001,40,1.0,55.47368421052632,1.6689193874607358
CCMSLIB00000853244,CCMSLIB00000853252,0.0,0.5,0.4668300765131526,0.3809523809523809,22,0.3580677449130733,18,9,9,301.216,13.978999999999983,63,1.0,21.55555555555556,0.4727707618597287
CCMSLIB00000847610,CCMSLIB00000847612,0.0,0.75,0.7635968224973774,0.4736842105263157,20,0.9257852296315134,25,21,4,269.081,15.993999999999971,36,0.6666666666666666,13.071428571428571,0.9130805802460072
CCMSLIB00000854601,CCMSLIB00000850695,1.0,1.0,0.3603746968453512,1.0,33,0.9977766298115333,13,1,12,461.217,14.01600000000002,16,1.0,305.0,0.1707243081866243
CCMSLIB00000848450,CCMSLIB00000848573,0.0,0.4,0.1286513563191171,0.7,31,0.9989603856994194,2,0,2,433.113,146.05800000000005,4,0.0,-1.0,0.0
CCMSLIB00000849219,CCMSLIB00000849670,0.0,0.75,0.4351294283617465,0.3448275862068966,30,0.3296525071727094,29,13,16,425.181,15.995000000000005,83,0.8461538461538461,21.90909090909091,0.468774359370026
CCMSLIB00000855790,CCMSLIB00000851819,0.1428571428571428,1.0,0.7324577957461084,0.6666666666666666,19,0.9983882696071956,2,0,2,258.124,115.04199999999996,5,0.0,-1.0,0.0
CCMSLIB00000847433,CCMSLIB00000848829,0.5,1.0,0.8097890558506048,1.0,21,0.8081425665411,9,5,4,287.055,15.995000000000005,16,1.0,9.0,1.2008308363471687
CCMSLIB00000846041,CCMSLIB00000848929,0.1111111111111111,1.0,0.4833869179649319,0.7419354838709677,32,0.9963407845670126,3,2,1,449.108,15.993999999999971,3,1.0,18.0,1.776286279335281
CCMSLIB00000847779,CCMSLIB00000849011,0.0,0.0,0.0,0.0,19,0.0,0,0,0,255.065,30.00999999999999,30,0.0,-1.0,0.0
CCMSLIB00000848039,CCMSLIB00000847476,0.0,0.375,0.3228258302252091,0.3333333333333333,19,0.1338582651364534,20,7,13,259.096,30.011000000000024,34,1.0,13.857142857142858,0.4421340512732938
CCMSLIB00000851023,CCMSLIB00000854899,0.0,0.8333333333333334,0.807401128447622,0.8148148148148148,28,0.3913218781779103,28,20,8,407.155,15.995000000000005,40,0.95,66.42105263157895,2.162755838404289
CCMSLIB00000853270,CCMSLIB00000856060,0.0,0.7058823529411765,0.5605568037627131,0.5135135135135135,38,0.0344588618879563,5,2,3,551.197,146.03700000000003,40,1.0,78.0,0.4485402549839565
CCMSLIB00000848221,CCMSLIB00000848825,0.0,0.75,0.6255288672257013,0.7804878048780488,42,0.9872894143907832,23,13,10,597.181,14.015999999999964,33,1.0,139.30769230769232,3.388300968425217
CCMSLIB00000855420,CCMSLIB00000852969,0.0,0.0,0.0,0.0,27,0.0,0,0,0,390.147,157.08499999999998,54,0.0,-1.0,0.0
CCMSLIB00000851640,CCMSLIB00000847928,0.0,0.4285714285714285,0.2165041837417671,0.2,16,0.4934040417941944,25,11,14,223.096,13.978999999999983,36,1.0,35.18181818181818,0.7846657382603793
CCMSLIB00000848337,CCMSLIB00000847500,0.0,0.1,0.1141223054251921,0.6,21,0.909457445759898,16,0,16,291.086,132.04199999999997,42,0.0,-1.0,0.0
CCMSLIB00000846887,CCMSLIB00005721231,0.0,0.0,0.2570011114305569,0.5454545454545454,12,0.2105521648068675,7,2,5,163.039,15.994,15,0.5,12.0,0.1074894127788273
CCMSLIB00000845056,CCMSLIB00005721451,0.0,0.0,0.123337083852687,0.7741935483870968,32,0.6695582641270968,3,0,3,449.108,152.01100000000002,8,0.0,-1.0,0.0
CCMSLIB00000846490,CCMSLIB00000852290,0.0,0.4166666666666667,0.3037699939918062,0.3548387096774194,32,0.2028984168799636,21,4,17,435.166,15.995000000000005,59,1.0,19.0,0.3788562454672727
CCMSLIB00000847842,CCMSLIB00000848318,0.0,0.0,0.123337083852687,0.7741935483870968,32,0.6738394488364062,3,0,3,449.108,152.01100000000002,6,0.0,-1.0,0.0
CCMSLIB00000846559,CCMSLIB00000847674,0.0,0.6666666666666666,0.6705358199810011,0.7954545454545454,45,0.9895881784415924,8,0,8,637.176,294.0949999999999,11,0.0,-1.0,0.0
CCMSLIB00000847613,CCMSLIB00000848744,0.0,0.0769230769230769,0.3253141862948103,0.7419354838709677,32,0.9894580470577417,6,0,6,449.108,132.04199999999997,11,0.0,-1.0,0.0
CCMSLIB00000848655,CCMSLIB00000847842,0.0,0.4166666666666667,0.233083947709607,0.7666666666666667,31,0.9971626771487998,5,0,5,433.113,15.995000000000005,10,0.0,-1.0,0.0
CCMSLIB00000849015,CCMSLIB00000846805,0.0,0.3333333333333333,0.3001125655436303,0.4242424242424242,34,0.9331662662907996,6,2,4,481.097,14.01600000000002,11,1.0,63.0,1.3722176390804206
CCMSLIB00000853274,CCMSLIB00000848369,0.0,0.5714285714285714,0.440662350209295,0.5925925925925926,28,0.9442325292737692,18,15,3,399.176,15.995000000000005,28,1.0,14.2,2.2443006974344475
CCMSLIB00000847371,CCMSLIB00000847474,0.0,0.625,0.5636608130407746,0.375,17,0.6080348487158397,25,9,16,229.086,30.00999999999999,52,1.0,7.666666666666667,0.325683744680344
CCMSLIB00000847450,CCMSLIB00005721425,0.0,0.5625,0.2930406438985165,0.7,31,0.7786479749908479,5,3,2,435.092,14.016999999999996,18,1.0,16.666666666666668,1.30506875141382
CCMSLIB00005721730,CCMSLIB00000845600,0.0,0.1,0.2465694826420274,0.9285714285714286,29,0.6930694848118703,26,9,17,401.124,14.013999999999951,53,1.0,47.0,0.8275096957491919
