id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms,cosine,matched,shifted,unshifted,weight,delta,peaks,shifted_annotated_ratio,shifted_annotated_ambiguity,shifted_annotated_entropy,sirius_availability
CCMSLIB00000848751,CCMSLIB00000846735,0.0,0.5,0.501451542181756,0.935483870967742,32,0.9748187367788124,4,0,4,449.108,162.05199999999996,13,0.0,-1.0,0.0,True
CCMSLIB00000845885,CCMSLIB00000846004,0.25,1.0,0.7967804869316151,1.0,14,0.0382796820590035,3,0,3,187.039,68.06200000000001,12,0.0,-1.0,0.0,True
CCMSLIB00000846001,CCMSLIB00000847877,0.0,0.5555555555555556,0.4493290360098472,0.3076923076923077,14,0.6048614405743487,12,8,4,195.065,14.015999999999991,18,1.0,4.5,0.8925934241314882,True
CCMSLIB00005723137,CCMSLIB00005723051,0.0,0.8125,0.6942855187815107,0.8571428571428571,29,0.8889816838590725,14,2,12,405.191,14.01600000000002,17,0.5,2.0,0.0407733635623497,False
CCMSLIB00000852801,CCMSLIB00000846841,0.0,0.3333333333333333,0.2590983156627252,0.5384615384615384,14,0.9168369446487772,8,3,5,197.128,14.01600000000002,30,0.6666666666666666,3.0,0.2079441541679836,True
CCMSLIB00005721602,CCMSLIB00005721152,0.1111111111111111,1.0,0.7795137500907335,0.9736842105263158,39,0.9083858975540828,10,4,6,551.179,15.990999999999984,25,1.0,4.5,0.4764707723996032,False
CCMSLIB00000847750,CCMSLIB00005721455,0.0,0.8571428571428571,0.5434346181590891,0.25,17,0.198658818558513,3,2,1,231.065,30.011000000000024,16,1.0,6.0,0.1139509729962216,True
CCMSLIB00005722914,CCMSLIB00005722304,0.0833333333333333,1.0,0.7443277830041922,0.8095238095238095,22,0.3049146346104809,5,1,4,299.164,68.06299999999999,14,1.0,1.0,0.0,False
CCMSLIB00000845014,CCMSLIB00000851650,0.125,1.0,0.7661097875235099,0.8260869565217391,24,0.7212337541389688,4,1,3,331.154,27.995000000000005,29,1.0,2.0,0.1912130153268814,True
CCMSLIB00000852242,CCMSLIB00000855837,0.0,0.9090909090909092,0.8018912442029646,0.7083333333333334,25,0.1173338881542614,15,10,5,359.134,15.995000000000005,26,0.5,4.6,0.4105115984712366,True
CCMSLIB00000847004,CCMSLIB00000847926,0.3333333333333333,1.0,0.6820393086076416,0.9666666666666668,31,0.997157024578148,7,0,7,435.092,132.04200000000003,11,0.0,-1.0,0.0,True
CCMSLIB00000848134,CCMSLIB00000845838,0.0,0.3888888888888889,0.1231695026413777,0.1052631578947368,39,0.9863459815967656,6,0,6,551.176,162.0519999999999,13,0.0,-1.0,0.0,True
CCMSLIB00000847961,CCMSLIB00000847856,0.0,0.5333333333333333,0.539373181548082,0.967741935483871,32,0.6169224969138354,53,17,36,451.123,15.995000000000005,76,0.9411764705882352,57.4375,0.5848628889023596,True
CCMSLIB00000853274,CCMSLIB00000845263,0.0,0.5714285714285714,0.549421721341677,0.4814814814814814,28,0.9534931279969812,19,17,2,399.176,15.995000000000005,28,0.8823529411764706,5.866666666666666,0.9898269296583518,True
