id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms,cosine_true_site
CCMSLIB00005722743,CCMSLIB00005723167,0.0,0.0,0.0,0.391304347826087,24,0.0
CCMSLIB00000848432,CCMSLIB00000847704,0.0,0.6,0.2377936273570327,0.0952380952380952,22,0.0
CCMSLIB00000846916,CCMSLIB00000849097,1.0,1.0,0.6426029963329952,1.0,31,0.5257842750364572
CCMSLIB00000855849,CCMSLIB00000852830,0.0,0.4,0.4669844361892086,0.1,21,0.0
CCMSLIB00000846944,CCMSLIB00000848126,0.0,0.8666666666666667,0.5336981837108149,0.975,41,0.3931085054217365
CCMSLIB00000846995,CCMSLIB00000846563,0.0,0.9565217391304348,0.5381015207924942,0.9230769230769232,53,0.0589205901089586
CCMSLIB00000852196,CCMSLIB00000852853,0.0,0.8333333333333334,0.5649346512942722,0.9166666666666666,37,0.0381179695204048
CCMSLIB00000847487,CCMSLIB00000848732,0.0,0.3333333333333333,0.217976615858891,0.4782608695652174,24,0.0
CCMSLIB00000847638,CCMSLIB00000847090,1.0,1.0,0.5677645482149447,1.0,18,0.0084241764846243
CCMSLIB00000847155,CCMSLIB00000846823,0.0,0.3333333333333333,0.1254111162970886,0.8,31,0.0
CCMSLIB00000846083,CCMSLIB00000848573,0.0,0.0588235294117647,0.0081406144064468,0.0256410256410256,40,0.0
CCMSLIB00005721819,CCMSLIB00000845216,0.0,0.0,0.0247668076821577,0.0454545454545454,23,0.0
CCMSLIB00000848249,CCMSLIB00000848525,0.0,0.6666666666666666,0.4324526660972597,0.9375,33,0.4390960544295557
CCMSLIB00005721717,CCMSLIB00000845854,1.0,1.0,0.5279855642199859,1.0,33,0.3903970574694137
CCMSLIB00000854975,CCMSLIB00000846158,0.0,0.3571428571428571,0.1120688418179115,0.2608695652173913,24,0.0
CCMSLIB00000847842,CCMSLIB00000846155,1.0,1.0,0.4496902717979928,1.0,32,0.4787535002301064
CCMSLIB00000845303,CCMSLIB00000848486,0.0,0.0833333333333333,0.0085217889311864,0.1875,33,0.0
CCMSLIB00000853643,CCMSLIB00000852853,0.0,0.8333333333333334,0.7393175475025213,0.9722222222222222,37,0.053772002659543
CCMSLIB00000847437,CCMSLIB00000847486,0.0,0.25,0.081808032250554,0.3636363636363636,23,0.0
CCMSLIB00000848325,CCMSLIB00005721756,0.0,0.7333333333333333,0.526707388206213,0.3636363636363636,34,0.0
CCMSLIB00005721457,CCMSLIB00000845561,0.0,0.3333333333333333,0.0712571444548752,0.0,25,0.0
CCMSLIB00000848337,CCMSLIB00005721643,0.0,0.8,0.7167432200147066,0.3,21,0.0
CCMSLIB00000847409,CCMSLIB00000852272,0.0,0.0,0.054978015027848,0.4285714285714285,29,0.0
CCMSLIB00000848585,CCMSLIB00000852883,0.0,0.25,0.226696018221356,0.9230769230769232,27,0.0477084513439576
CCMSLIB00005722357,CCMSLIB00005722791,0.0,0.1428571428571428,0.2795949096821755,0.3720930232558139,44,0.0117617254462339
CCMSLIB00000845303,CCMSLIB00000845058,0.0,0.9166666666666666,0.7289116499825635,0.875,33,0.3410598878124299
CCMSLIB00000851195,CCMSLIB00000855777,0.0,0.2222222222222222,0.0616652909431255,0.2222222222222222,19,0.0
CCMSLIB00000854301,CCMSLIB00000849933,0.0,0.4285714285714285,0.3212647531592009,0.8148148148148148,28,0.11311403196865
CCMSLIB00000847638,CCMSLIB00000848691,0.0,0.0,0.0,0.0,18,0.0
CCMSLIB00000847613,CCMSLIB00000847772,0.0,0.4615384615384615,0.1863161654378069,0.032258064516129,32,0.0
CCMSLIB00000848420,CCMSLIB00000847379,0.0,0.4444444444444444,0.2865048863929307,0.5294117647058824,18,0.0
CCMSLIB00000848128,CCMSLIB00000848899,0.0,0.0,0.0,0.0,17,0.0
CCMSLIB00000846091,CCMSLIB00000845489,0.0,0.8888888888888888,0.8824969163736078,0.4,16,0.0
CCMSLIB00000846413,CCMSLIB00000845056,1.0,1.0,0.5757329322874315,1.0,30,0.5629542821752225
CCMSLIB00000848751,CCMSLIB00000848278,0.0,0.0833333333333333,0.2339451606374771,0.8709677419354839,32,0.3223470922048558
CCMSLIB00000845054,CCMSLIB00000847090,0.0,0.2222222222222222,0.097117730078967,0.1904761904761904,22,0.0
CCMSLIB00000855712,CCMSLIB00000851772,0.0,0.0,0.0,0.0,28,0.0
CCMSLIB00000848655,CCMSLIB00005721451,0.0,0.6666666666666666,0.6099610210724591,0.9333333333333332,31,0.3044902997937288
CCMSLIB00000848637,CCMSLIB00000847032,0.0,0.1333333333333333,0.0128802105736452,0.3225806451612903,32,0.0
CCMSLIB00000849013,CCMSLIB00000849064,0.0,0.2,0.2385201208571973,0.0952380952380952,22,0.0
CCMSLIB00005723151,CCMSLIB00005723051,0.0,0.4375,0.3001818028839567,0.6428571428571429,29,0.0018956222649506
CCMSLIB00000848136,CCMSLIB00000848477,0.0,0.05,0.0467009987704399,0.675,41,0.000848320106241
CCMSLIB00005722732,CCMSLIB00005722278,0.0,0.4615384615384615,0.4483260806772197,0.8620689655172413,30,0.0033152111209649
CCMSLIB00000850982,CCMSLIB00000855079,1.0,1.0,0.6212032478686751,1.0,30,0.039200037593384
CCMSLIB00000853006,CCMSLIB00000855408,0.0,0.6086956521739131,0.6335763827714754,0.9692307692307692,66,0.0154673306762285
CCMSLIB00000855103,CCMSLIB00000851176,0.0,0.625,0.5342428891673162,0.7391304347826086,24,0.0
CCMSLIB00000848562,CCMSLIB00000848735,0.0,0.0,0.0,0.0,21,0.0
CCMSLIB00000851819,CCMSLIB00000852758,0.0,0.7333333333333333,0.7186272235832429,0.6296296296296297,28,0.0
CCMSLIB00000846113,CCMSLIB00000847457,0.0,0.4285714285714285,0.5226247810823872,0.7894736842105263,20,0.2348344839780115
CCMSLIB00000848276,CCMSLIB00000847501,0.0,0.0,0.0,0.0,27,0.0
CCMSLIB00000849040,CCMSLIB00000845214,0.0,0.4,0.2603115841320901,0.3666666666666666,31,0.0
CCMSLIB00000846155,CCMSLIB00000846809,0.0,0.0588235294117647,0.1912441587062981,0.7804878048780488,42,0.1786748881404487
CCMSLIB00005721422,CCMSLIB00005721170,0.0,0.5714285714285714,0.4555724215051132,0.8,21,0.0729730668364443
CCMSLIB00000845303,CCMSLIB00000846043,1.0,1.0,0.4937887892866662,1.0,33,0.5419165730775184
CCMSLIB00000848337,CCMSLIB00000848636,1.0,1.0,0.4448194267146513,1.0,21,0.0222165522478673
CCMSLIB00000851059,CCMSLIB00005721803,1.0,1.0,0.5844351589969873,1.0,25,0.0937353967706591
CCMSLIB00000848404,CCMSLIB00000846401,1.0,1.0,0.797728392108147,1.0,31,0.5250540033466808
CCMSLIB00005721270,CCMSLIB00000847763,0.0,0.2857142857142857,0.4652017949787225,0.5238095238095238,22,0.000827275979691
CCMSLIB00000848313,CCMSLIB00000847004,0.0,0.1666666666666666,0.0600092043366924,0.1034482758620689,30,0.0
CCMSLIB00000847474,CCMSLIB00000847476,0.0,0.375,0.1888757077684465,0.3888888888888889,19,0.0
CCMSLIB00000854236,CCMSLIB00000855455,0.0,0.1,0.4731878510254105,0.9523809523809524,22,0.0562679918496564
CCMSLIB00000846368,CCMSLIB00000845044,0.0,0.8571428571428571,0.8464817484039917,0.8,16,0.0
CCMSLIB00000849955,CCMSLIB00000853669,0.0,0.2307692307692307,0.1065086461323321,0.1739130434782608,24,0.0
CCMSLIB00005721614,CCMSLIB00000847365,0.0,0.0,0.1174314119408905,0.6363636363636364,23,0.00865254721958
CCMSLIB00000849087,CCMSLIB00000849088,0.0,0.4074074074074074,0.4707886979273614,0.7051282051282052,79,0.0014550426422063
CCMSLIB00000848010,CCMSLIB00000845128,0.0,0.5555555555555556,0.4493290360098472,0.25,25,0.0
CCMSLIB00005721723,CCMSLIB00000848682,0.0,0.5,0.6025367271674553,0.7222222222222222,37,0.0011481281805938
CCMSLIB00000850108,CCMSLIB00000848754,1.0,1.0,0.3982451345880273,1.0,55,0.1376747324066858
CCMSLIB00000848337,CCMSLIB00000848138,0.0,0.8,0.7167432200147066,0.3,21,0.0
CCMSLIB00000850695,CCMSLIB00000853715,0.0,0.0,0.0,0.0,34,0.0
CCMSLIB00000855712,CCMSLIB00000855237,0.0,0.0,0.0,0.0,28,0.0
CCMSLIB00000847491,CCMSLIB00000848234,1.0,1.0,0.8783904741410827,1.0,40,0.1509374650967044
CCMSLIB00000847785,CCMSLIB00000848643,0.0,0.2857142857142857,0.0820851012301599,0.6,16,0.0
CCMSLIB00000847961,CCMSLIB00005721381,0.0,0.6666666666666666,0.4078704418607107,0.7096774193548387,32,0.0001226049528503
CCMSLIB00000851867,CCMSLIB00000854245,1.0,1.0,0.6000267655379222,1.0,66,0.0663567090495624
CCMSLIB00000847751,CCMSLIB00000849041,0.0,0.4166666666666667,0.4415135002737679,0.8,26,0.0350377587975543
CCMSLIB00000845729,CCMSLIB00000846755,0.0,0.4444444444444444,0.4783884794823346,0.9736842105263158,39,0.1539363172003376
CCMSLIB00000849014,CCMSLIB00000847486,0.0,0.6666666666666666,0.606530697620796,0.7727272727272727,23,0.0
CCMSLIB00000846428,CCMSLIB00000848455,0.0,0.0,0.0,0.0,21,0.0
CCMSLIB00000848804,CCMSLIB00005721670,0.0,0.8181818181818182,0.8121529420690115,0.9090909090909092,23,0.0022908745972605
CCMSLIB00005721868,CCMSLIB00000845219,0.0,0.4545454545454545,0.1622249101894498,0.3076923076923077,27,0.0
CCMSLIB00005723184,CCMSLIB00005722900,0.0,0.375,0.1888757077684465,0.3888888888888889,19,0.0
CCMSLIB00000848846,CCMSLIB00000845960,0.0,0.7058823529411765,0.5854379488325129,0.9047619047619048,43,0.4194214085889331
CCMSLIB00000848655,CCMSLIB00000845056,1.0,1.0,0.7094359033253186,1.0,31,0.5609123738619125
CCMSLIB00000848033,CCMSLIB00000847830,0.0,0.5882352941176471,0.6025984300295846,0.9333333333333332,31,0.0107940040196664
CCMSLIB00000854255,CCMSLIB00000851005,0.0,0.9,0.850741534759027,0.8181818181818182,23,0.0051456133457406
CCMSLIB00000847730,CCMSLIB00000852969,0.0,0.5333333333333333,0.4019531936286019,0.064516129032258,32,0.0
CCMSLIB00000855394,CCMSLIB00000853452,0.0,0.5,0.3678795147473232,0.5238095238095238,22,0.0
CCMSLIB00000845594,CCMSLIB00000846117,1.0,1.0,0.641449373467052,1.0,20,0.000116144042966
CCMSLIB00000847618,CCMSLIB00000847397,0.0,0.35,0.4269862927317922,0.9807692307692308,53,0.2116066657744598
CCMSLIB00005721306,CCMSLIB00000845838,0.0,0.2222222222222222,0.0793925438056239,0.6052631578947368,39,0.0701921589221124
CCMSLIB00000848249,CCMSLIB00000845329,0.0,0.0,0.1715765431280786,0.78125,33,0.3485660306604977
CCMSLIB00000856089,CCMSLIB00000855665,0.0,0.2666666666666666,0.0802072413102297,0.8,36,0.0
CCMSLIB00005721798,CCMSLIB00000847500,0.0,0.0,0.0,0.0,21,0.0
CCMSLIB00000851059,CCMSLIB00005721445,1.0,1.0,0.5844351589969873,1.0,25,0.0937353967706591
CCMSLIB00000855348,CCMSLIB00000852758,0.0,0.1,0.0001234109147788,0.0,24,0.0
CCMSLIB00005721597,CCMSLIB00000849060,1.0,1.0,0.8821589612640965,1.0,29,0.0211930128412258
CCMSLIB00000845349,CCMSLIB00005721287,0.0,0.6153846153846154,0.6517291409616016,0.8095238095238095,22,0.0223460628821643
CCMSLIB00000845164,CCMSLIB00000847015,0.0,0.25,0.0497871430484851,0.5714285714285714,15,0.0
CCMSLIB00000848378,CCMSLIB00000849013,0.0,0.4,0.3156566255821765,0.4210526315789473,20,0.0
CCMSLIB00000848128,CCMSLIB00000846550,0.0,0.0,0.0,0.0,17,0.0
CCMSLIB00000848668,CCMSLIB00000847186,0.0,0.2352941176470588,0.3504944308669084,0.9230769230769232,53,0.1259826644293794
CCMSLIB00005722357,CCMSLIB00005721911,0.0,0.1428571428571428,0.2708935310643403,0.3953488372093023,44,0.0111192071363262
CCMSLIB00005721228,CCMSLIB00000848164,0.0,0.3076923076923077,0.0713973173653954,0.0434782608695652,24,0.0
CCMSLIB00000848301,CCMSLIB00000848636,0.0,0.2,0.3742879669217164,0.9,21,0.0133645873019222
CCMSLIB00000850489,CCMSLIB00000851841,0.0,0.25,0.278996592000442,0.3333333333333333,37,0.0
CCMSLIB00000849089,CCMSLIB00000845947,0.0,0.7,0.6941085098058521,0.9,21,0.000892704462386
CCMSLIB00005721397,CCMSLIB00000847225,0.0,0.6,0.5374099428077681,0.7441860465116279,44,0.1214768133277452
CCMSLIB00000848861,CCMSLIB00000847032,0.0,0.6666666666666666,0.8011903429750503,0.9032258064516128,32,0.4090357977177881
CCMSLIB00000845116,CCMSLIB00000846563,0.0,0.4285714285714285,0.2733541025689338,0.4418604651162791,44,0.0274178206983413
CCMSLIB00005721467,CCMSLIB00000848954,0.0,0.75,0.5910716401177257,0.90625,33,0.1878342232342324
CCMSLIB00000848217,CCMSLIB00000848682,0.0,0.5909090909090909,0.5445611380581181,0.7777777777777778,37,0.0052779356803619
CCMSLIB00000847819,CCMSLIB00000847787,0.0,0.5,0.2291196794849921,0.7058823529411765,18,0.0
CCMSLIB00000853599,CCMSLIB00000851254,0.0,0.6666666666666666,0.5995708428369083,0.0625,17,0.0
CCMSLIB00005722830,CCMSLIB00005721911,0.0,0.3043478260869565,0.4821325524626317,0.8076923076923077,53,0.0278272099706557
CCMSLIB00000847387,CCMSLIB00000847759,0.0,0.2727272727272727,0.0592476399176606,0.45,21,0.0
CCMSLIB00000845056,CCMSLIB00000845060,1.0,1.0,0.4496902717979928,1.0,32,0.4794095655389986
CCMSLIB00000847789,CCMSLIB00000847144,0.0,0.8,0.765089957593885,0.95,21,0.0088345358240352
CCMSLIB00000848089,CCMSLIB00000845675,0.0,0.5454545454545454,0.5240989415462288,0.6666666666666666,28,0.0004996835616344
CCMSLIB00000848079,CCMSLIB00000848931,0.0,0.2,0.3902438377367718,0.7727272727272727,23,0.0056365959095201
CCMSLIB00000846878,CCMSLIB00000848866,0.0,0.8666666666666667,0.5270300968036138,0.2972972972972973,38,0.0
CCMSLIB00000846916,CCMSLIB00000846322,0.0,0.9375,0.6576568498969417,0.9666666666666668,31,0.449321378989556
CCMSLIB00000845831,CCMSLIB00000853587,0.0,0.0,0.0,0.0,41,0.0
CCMSLIB00000850072,CCMSLIB00005721152,0.0,0.5294117647058824,0.2236958364588328,0.6578947368421053,39,0.0022667236156101
CCMSLIB00000845758,CCMSLIB00005721281,0.0,0.4666666666666667,0.5404297011701816,0.6333333333333333,31,0.0022246626308852
CCMSLIB00000854975,CCMSLIB00000847508,0.0,0.3571428571428571,0.1120688418179115,0.2608695652173913,24,0.0
CCMSLIB00000848843,CCMSLIB00000852883,0.0,0.0,0.0648119639520839,0.5769230769230769,27,0.005090962356865
CCMSLIB00000849071,CCMSLIB00000848913,0.0,0.5294117647058824,0.32118902362043,0.2619047619047619,43,0.0
CCMSLIB00000850626,CCMSLIB00000852158,0.0,0.4545454545454545,0.2298604728405606,0.75,29,0.0100428288685591
CCMSLIB00000846155,CCMSLIB00000845189,0.0,0.7647058823529411,0.5389228497373095,0.951219512195122,42,0.4349348641396414
CCMSLIB00005722519,CCMSLIB00005722788,0.0,0.5555555555555556,0.4584088026357529,0.6764705882352942,35,0.0302237799099104
