id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,helpers,num_helpers,num_atoms,cosine,matched,shifted,unshifted,weight,delta,peaks,shifted_annotated_ratio,shifted_annotated_ambiguity,shifted_annotated_entropy
CCMSLIB00000848299,CCMSLIB00000848721,1.0,1.0,0.3777822401624538,1.0,[],0,16,0.8235493610360993,15,6,9,224.201,28.03100000000001,32,0.8333333333333334,2.4,0.1483337783083271
CCMSLIB00000845758,CCMSLIB00000846405,0.0,0.7333333333333333,0.7060477108734758,0.7333333333333333,['CCMSLIB00000845214' 'CCMSLIB00000845634' 'CCMSLIB00000847961'  'CCMSLIB00005721111'],4,31,0.4189327956274105,37,4,33,435.128,162.05300000000005,97,0.5,15.5,0.0331426603546807
CCMSLIB00000847659,CCMSLIB00000846010,0.0,0.7692307692307693,0.5679908167945076,0.5,['CCMSLIB00000848516'],1,33,0.9884584113974928,8,7,1,463.123,15.995000000000005,8,0.5714285714285714,9.25,1.3244384927737574
CCMSLIB00000848557,CCMSLIB00005721178,0.0,0.8,0.6475263222644794,0.925,['CCMSLIB00000847467' 'CCMSLIB00000848601'],2,41,0.7381242415488463,52,21,31,579.171,15.99599999999998,99,0.5238095238095238,144.63636363636363,0.3692971259808614
CCMSLIB00000848249,CCMSLIB00000845245,0.0909090909090909,1.0,0.748752700367642,1.0,['CCMSLIB00000845056' 'CCMSLIB00000847842' 'CCMSLIB00000847904'  'CCMSLIB00000848751' 'CCMSLIB00000845058' 'CCMSLIB00000846043'  'CCMSLIB00000847858' 'CCMSLIB00000848142' 'CCMSLIB00000848143'  'CCMSLIB00000848355' 'CCMSLIB00000848486' 'CCMSLIB00000848846'  'CCMSLIB00000848857' 'CCMSLIB00000849015' 'CCMSLIB00005721176'  'CCMSLIB00005721642'],16,33,0.9972256200636344,5,0,5,465.102,162.053,12,0.0,-1.0,0.0
CCMSLIB00000848128,CCMSLIB00000847373,0.1428571428571428,1.0,0.7741008533956542,0.625,['CCMSLIB00000846550' 'CCMSLIB00000847204' 'CCMSLIB00000847375'  'CCMSLIB00000848899'],4,17,0.592034604400861,6,1,5,223.075,15.995000000000005,12,1.0,1.0,0.0
CCMSLIB00000846155,CCMSLIB00000847463,0.0,0.5882352941176471,0.4652479491570065,0.5609756097560976,['CCMSLIB00000845056' 'CCMSLIB00000846413' 'CCMSLIB00000847842'  'CCMSLIB00000848072' 'CCMSLIB00000848655' 'CCMSLIB00000848930'  'CCMSLIB00000845612' 'CCMSLIB00000845828' 'CCMSLIB00000846710'  'CCMSLIB00000846809' 'CCMSLIB00000847164' 'CCMSLIB00000847608'  'CCMSLIB00000848355' 'CCMSLIB00000848846'],14,42,0.9990897060388864,5,0,5,595.165,162.053,5,0.0,-1.0,0.0
CCMSLIB00000847433,CCMSLIB00000848313,1.0,1.0,0.7688609477441813,1.0,['CCMSLIB00000847621' 'CCMSLIB00000848378' 'CCMSLIB00000848653'  'CCMSLIB00000848829' 'CCMSLIB00000849013'],5,21,0.063854569688773,5,0,5,287.055,132.04199999999997,16,0.0,-1.0,0.0
CCMSLIB00000854571,CCMSLIB00000848480,1.0,1.0,0.4847839147725706,1.0,['CCMSLIB00000854593'],1,20,0.8377357841899522,7,0,7,273.112,12.0,85,0.0,-1.0,0.0
CCMSLIB00000846667,CCMSLIB00000845662,0.0,0.5833333333333334,0.4121917213415673,0.9629629629629628,[],0,28,0.6979848306005016,47,7,40,397.185,14.01600000000002,100,0.4285714285714285,18.0,0.1103062974976555
CCMSLIB00000848861,CCMSLIB00000845158,0.0909090909090909,1.0,0.7720462537107636,0.7096774193548387,['CCMSLIB00000848450' 'CCMSLIB00000845835' 'CCMSLIB00000846735'  'CCMSLIB00000847032'],4,32,0.9991623488067618,2,0,2,449.108,146.05699999999996,4,0.0,-1.0,0.0
CCMSLIB00000853829,CCMSLIB00000855476,0.0,0.5714285714285714,0.4084868666203185,0.0625,[],0,17,0.2486820877181524,29,2,27,233.154,58.005,95,0.0,-1.0,0.0
CCMSLIB00000849375,CCMSLIB00000847915,0.0909090909090909,1.0,0.5704334201740803,0.8709677419354839,['CCMSLIB00000853333'],1,32,0.9889698909993035,6,2,4,451.135,206.021,7,1.0,1.0,0.0
CCMSLIB00000847591,CCMSLIB00000849014,0.0,0.8333333333333334,0.7983922953528583,0.7619047619047619,['CCMSLIB00000848378' 'CCMSLIB00000847437'],2,22,0.9930798567041228,12,5,7,301.07,15.995000000000005,12,1.0,5.0,0.4200932911631895
CCMSLIB00000846817,CCMSLIB00005721217,0.0,0.75,0.7757471305333695,0.7272727272727273,[],0,23,0.3090005983652939,30,11,19,313.143,68.06400000000002,98,0.8181818181818182,3.333333333333333,0.1195609544843813
CCMSLIB00000847956,CCMSLIB00000847767,0.0909090909090909,1.0,0.621062500189295,0.375,['CCMSLIB00000846887' 'CCMSLIB00000846721' 'CCMSLIB00000848746'],3,17,0.8714178503706473,8,6,2,231.101,30.011000000000024,13,0.6666666666666666,1.0,0.0
CCMSLIB00000845594,CCMSLIB00000849089,0.1428571428571428,1.0,0.8154442889428315,0.6842105263157895,['CCMSLIB00000845051' 'CCMSLIB00000847787' 'CCMSLIB00000848129'  'CCMSLIB00000846117' 'CCMSLIB00000846135' 'CCMSLIB00000846890'  'CCMSLIB00000847533' 'CCMSLIB00000848592'],8,20,0.7411744941998473,4,1,3,273.075,15.995000000000005,13,0.0,-1.0,0.0
CCMSLIB00000848601,CCMSLIB00000845138,0.0,0.8,0.8302561839307533,0.8333333333333334,['CCMSLIB00000845378' 'CCMSLIB00000847333' 'CCMSLIB00000847467'  'CCMSLIB00000847491' 'CCMSLIB00000848234' 'CCMSLIB00000848557'  'CCMSLIB00005721178'],7,31,0.5989702427246641,45,35,10,433.113,15.995000000000005,64,0.4857142857142857,14.058823529411764,0.3722876244256887
CCMSLIB00000845714,CCMSLIB00000847970,0.25,1.0,0.7598156453105448,0.9473684210526316,['CCMSLIB00000845051' 'CCMSLIB00000848129' 'CCMSLIB00000846135'  'CCMSLIB00000848562'],4,20,0.8380836772692389,9,6,3,271.096,30.011000000000024,20,0.5,3.0,0.1200117876853173
CCMSLIB00000847866,CCMSLIB00005721518,0.0,0.75,0.5451141965420084,0.3076923076923077,['CCMSLIB00000845335' 'CCMSLIB00000846887' 'CCMSLIB00005721231'  'CCMSLIB00000845164' 'CCMSLIB00000846458' 'CCMSLIB00000847767'  'CCMSLIB00000848379'],7,14,0.896230120251088,13,9,4,193.049,15.99599999999998,30,0.3333333333333333,2.0,0.080641320509021
CCMSLIB00000847904,CCMSLIB00000848249,0.1111111111111111,1.0,0.7946166939161611,0.9,['CCMSLIB00000846413' 'CCMSLIB00000848072' 'CCMSLIB00000848653'  'CCMSLIB00000845058' 'CCMSLIB00000846043' 'CCMSLIB00000847858'  'CCMSLIB00000848355' 'CCMSLIB00000848751' 'CCMSLIB00000848846'  'CCMSLIB00005721176'],10,31,0.9993547958618014,10,0,10,435.092,30.00999999999999,10,0.0,-1.0,0.0
