id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms
CCMSLIB00005722743,CCMSLIB00005723167,0.08,0.478,0.3933321217974941,0.5347826086956521,24
CCMSLIB00000848432,CCMSLIB00000847704,0.0,0.5586666666666668,0.5053655074934474,0.4685714285714285,22
CCMSLIB00000846916,CCMSLIB00000849097,0.04,0.4725,0.4125863543467281,0.5733333333333333,31
CCMSLIB00000855849,CCMSLIB00000852830,0.1,0.7546666666666667,0.6860669238668864,0.5489999999999999,21
CCMSLIB00000846944,CCMSLIB00000848126,0.06,0.54,0.4086131952176063,0.5755,41
CCMSLIB00000846995,CCMSLIB00000846563,0.04,0.4817391304347827,0.3578128421610523,0.4588461538461539,53
CCMSLIB00000852196,CCMSLIB00000852853,0.02,0.6022222222222222,0.5209487559078567,0.5261111111111112,37
CCMSLIB00000847487,CCMSLIB00000848732,0.02,0.5866666666666667,0.5044785994216723,0.4869565217391303,24
CCMSLIB00000847638,CCMSLIB00000847090,0.04,0.4085714285714286,0.2701357485804584,0.44,18
CCMSLIB00000847155,CCMSLIB00000846823,0.02,0.6946666666666669,0.5614904213163469,0.474,31
CCMSLIB00000846083,CCMSLIB00000848573,0.04,0.4505882352941176,0.3219415151832082,0.4928205128205127,40
CCMSLIB00005721819,CCMSLIB00000845216,0.02,0.3955555555555555,0.3530410886683171,0.4836363636363636,23
CCMSLIB00000848249,CCMSLIB00000848525,0.02,0.4183333333333333,0.3199087105776552,0.603125,33
CCMSLIB00005721717,CCMSLIB00000845854,0.04,0.4707692307692309,0.3171637372458509,0.503125,33
CCMSLIB00000854975,CCMSLIB00000846158,0.06,0.5757142857142857,0.4600618293245069,0.5530434782608696,24
CCMSLIB00000847842,CCMSLIB00000846155,0.0,0.3633333333333333,0.2973256243098545,0.5038709677419354,32
CCMSLIB00000845303,CCMSLIB00000848486,0.04,0.4483333333333333,0.3316921901136835,0.4625,33
CCMSLIB00000853643,CCMSLIB00000852853,0.06,0.4755555555555555,0.4352117211851199,0.5883333333333334,37
CCMSLIB00000847437,CCMSLIB00000847486,0.02,0.5433333333333333,0.4799164093491689,0.4481818181818183,23
CCMSLIB00000848325,CCMSLIB00005721756,0.04,0.5840000000000001,0.4854496853538614,0.5066666666666667,34
CCMSLIB00005721457,CCMSLIB00000845561,0.08,0.5044444444444446,0.3096276240059612,0.5016666666666667,25
CCMSLIB00000848337,CCMSLIB00005721643,0.06,0.5379999999999998,0.4748547525651171,0.5669999999999998,21
CCMSLIB00000847409,CCMSLIB00000852272,0.02,0.455,0.3623358263956725,0.54,29
CCMSLIB00000848585,CCMSLIB00000852883,0.08,0.5483333333333335,0.4415356590885628,0.4846153846153846,27
CCMSLIB00005722357,CCMSLIB00005722791,0.0,0.5628571428571432,0.4640388156894771,0.5176744186046511,44
CCMSLIB00000845303,CCMSLIB00000845058,0.08,0.495,0.367621193547982,0.53125,33
CCMSLIB00000851195,CCMSLIB00000855777,0.12,0.5933333333333336,0.4917791262400361,0.5622222222222224,19
CCMSLIB00000854301,CCMSLIB00000849933,0.0,0.4828571428571429,0.3792037209720936,0.5177777777777779,28
CCMSLIB00000847638,CCMSLIB00000848691,0.04,0.4085714285714286,0.2701357485804584,0.44,18
CCMSLIB00000847613,CCMSLIB00000847772,0.0,0.5215384615384615,0.4231455380315078,0.4645161290322581,32
CCMSLIB00000848420,CCMSLIB00000847379,0.14,0.5155555555555555,0.4292551597455052,0.4611764705882352,18
CCMSLIB00000848128,CCMSLIB00000848899,0.06,0.5133333333333333,0.414840597433425,0.48875,17
CCMSLIB00000846091,CCMSLIB00000845489,0.06,0.5044444444444444,0.3781367047449653,0.5053333333333332,16
CCMSLIB00000846413,CCMSLIB00000845056,0.0,0.4733333333333332,0.4266545781927697,0.4386206896551726,30
CCMSLIB00000848751,CCMSLIB00000848278,0.02,0.41,0.3149875112265699,0.4819354838709677,32
CCMSLIB00000845054,CCMSLIB00000847090,0.1,0.5355555555555555,0.4725995674837823,0.4609523809523809,22
CCMSLIB00000855712,CCMSLIB00000851772,0.12,0.6272727272727272,0.501132637049475,0.54,28
CCMSLIB00000848655,CCMSLIB00005721451,0.04,0.4283333333333334,0.3583921584527798,0.5733333333333333,31
CCMSLIB00000848637,CCMSLIB00000847032,0.06,0.5693333333333335,0.4275053351751762,0.5219354838709678,32
CCMSLIB00000849013,CCMSLIB00000849064,0.06,0.5899999999999999,0.4326660356035942,0.4714285714285713,22
CCMSLIB00005723151,CCMSLIB00005723051,0.02,0.54,0.4266548197871641,0.5621428571428572,29
CCMSLIB00000848136,CCMSLIB00000848477,0.02,0.4550000000000001,0.3591639909971469,0.5169999999999999,41
CCMSLIB00005722732,CCMSLIB00005722278,0.02,0.6830769230769232,0.6229128268492293,0.5151724137931034,30
CCMSLIB00000850982,CCMSLIB00000855079,0.04,0.7240000000000001,0.6188763305674059,0.5186206896551723,30
CCMSLIB00000853006,CCMSLIB00000855408,0.0,0.5417391304347827,0.475211769767373,0.5547692307692308,66
CCMSLIB00000855103,CCMSLIB00000851176,0.04,0.5175,0.4210385452717656,0.4678260869565218,24
CCMSLIB00000848562,CCMSLIB00000848735,0.02,0.6819999999999999,0.5814614497520626,0.3989999999999999,21
CCMSLIB00000851819,CCMSLIB00000852758,0.02,0.6400000000000001,0.5328218519443373,0.4866666666666665,28
CCMSLIB00000846113,CCMSLIB00000847457,0.04,0.4514285714285714,0.3223080178469695,0.4789473684210526,20
CCMSLIB00000848276,CCMSLIB00000847501,0.04,0.448,0.3416283016641904,0.5000000000000001,27
CCMSLIB00000849040,CCMSLIB00000845214,0.02,0.66,0.6186526182995093,0.4726666666666667,31
CCMSLIB00000846155,CCMSLIB00000846809,0.0,0.5152941176470589,0.3825013378571312,0.5048780487804877,42
CCMSLIB00005721422,CCMSLIB00005721170,0.02,0.3957142857142857,0.3283745496644748,0.4849999999999997,21
CCMSLIB00000845303,CCMSLIB00000846043,0.04,0.4183333333333333,0.291397908623555,0.5275,33
CCMSLIB00000848337,CCMSLIB00000848636,0.06,0.5060000000000001,0.3716423546770399,0.519,21
CCMSLIB00000851059,CCMSLIB00005721803,0.02,0.5583333333333332,0.4895632066054067,0.4466666666666665,25
CCMSLIB00000848404,CCMSLIB00000846401,0.04,0.528235294117647,0.4197892698769765,0.5773333333333335,31
CCMSLIB00005721270,CCMSLIB00000847763,0.06,0.6642857142857143,0.630081856859807,0.5923809523809523,22
CCMSLIB00000848313,CCMSLIB00000847004,0.02,0.5499999999999998,0.4234143919716875,0.5151724137931034,30
CCMSLIB00000847474,CCMSLIB00000847476,0.02,0.6125,0.5375891549242877,0.5244444444444445,19
CCMSLIB00000854236,CCMSLIB00000855455,0.04,0.5820000000000001,0.4902071020003504,0.5171428571428571,22
CCMSLIB00000846368,CCMSLIB00000845044,0.02,0.5914285714285715,0.5004318266176377,0.5026666666666667,16
CCMSLIB00000849955,CCMSLIB00000853669,0.06,0.5184615384615384,0.4270873347865613,0.5678260869565217,24
CCMSLIB00005721614,CCMSLIB00000847365,0.02,0.4740000000000001,0.4222333616006339,0.4481818181818183,23
CCMSLIB00000849087,CCMSLIB00000849088,0.02,0.6814814814814816,0.6073355645878833,0.5851282051282053,79
CCMSLIB00000848010,CCMSLIB00000845128,0.04,0.4955555555555554,0.4468931408723031,0.4708333333333332,25
CCMSLIB00005721723,CCMSLIB00000848682,0.0,0.4163636363636363,0.3374794174493745,0.5416666666666664,37
CCMSLIB00000850108,CCMSLIB00000848754,0.0,0.5504347826086957,0.4858369639483607,0.6237037037037036,55
CCMSLIB00000848337,CCMSLIB00000848138,0.06,0.5379999999999998,0.4748547525651171,0.5669999999999998,21
CCMSLIB00000850695,CCMSLIB00000853715,0.06,0.5850000000000001,0.444721011933147,0.4709090909090909,34
CCMSLIB00000855712,CCMSLIB00000855237,0.0,0.4909090909090908,0.4087064068365658,0.4518518518518518,28
CCMSLIB00000847491,CCMSLIB00000848234,0.0,0.6133333333333334,0.5006438772225554,0.5543589743589744,40
CCMSLIB00000847785,CCMSLIB00000848643,0.06,0.6314285714285716,0.5319278282320193,0.5479999999999999,16
CCMSLIB00000847961,CCMSLIB00005721381,0.06,0.7360000000000001,0.6291420519470927,0.5219354838709678,32
CCMSLIB00000851867,CCMSLIB00000854245,0.02,0.4723809523809523,0.3787424728637778,0.4830769230769229,66
CCMSLIB00000847751,CCMSLIB00000849041,0.04,0.5833333333333333,0.4814377785013539,0.5568000000000001,26
CCMSLIB00000845729,CCMSLIB00000846755,0.06,0.45,0.3590624096395744,0.5378947368421053,39
CCMSLIB00000849014,CCMSLIB00000847486,0.08,0.5866666666666667,0.4819506937989014,0.5490909090909092,23
CCMSLIB00000846428,CCMSLIB00000848455,0.0,0.6080000000000001,0.5398711329808416,0.5440000000000002,21
CCMSLIB00000848804,CCMSLIB00005721670,0.12,0.6036363636363636,0.4861009042846129,0.508181818181818,23
CCMSLIB00005721868,CCMSLIB00000845219,0.02,0.5909090909090908,0.4917991277256062,0.5092307692307693,27
CCMSLIB00005723184,CCMSLIB00005722900,0.02,0.65,0.5673757799609692,0.5244444444444445,19
CCMSLIB00000848846,CCMSLIB00000845960,0.04,0.4858823529411762,0.3863400718047075,0.5047619047619049,43
CCMSLIB00000848655,CCMSLIB00000845056,0.04,0.4283333333333334,0.3583921584527798,0.5733333333333333,31
CCMSLIB00000848033,CCMSLIB00000847830,0.02,0.6952941176470593,0.6076755034904826,0.4946666666666667,31
CCMSLIB00000854255,CCMSLIB00000851005,0.02,0.5700000000000002,0.4550629178902036,0.5027272727272729,23
CCMSLIB00000847730,CCMSLIB00000852969,0.04,0.6160000000000003,0.535323078684231,0.5367741935483871,32
CCMSLIB00000855394,CCMSLIB00000853452,0.02,0.584,0.4732835725191036,0.5914285714285716,22
CCMSLIB00000845594,CCMSLIB00000846117,0.04,0.4379999999999999,0.3167814391720282,0.4789473684210526,20
CCMSLIB00000847618,CCMSLIB00000847397,0.02,0.5539999999999999,0.443130788096543,0.4565384615384615,53
CCMSLIB00005721306,CCMSLIB00000845838,0.04,0.4577777777777777,0.3394329413783198,0.5142105263157893,39
CCMSLIB00000848249,CCMSLIB00000845329,0.0,0.365,0.2766810381062132,0.43625,33
CCMSLIB00000856089,CCMSLIB00000855665,0.02,0.6066666666666667,0.5253014780376011,0.4771428571428571,36
CCMSLIB00005721798,CCMSLIB00000847500,0.06,0.5060000000000001,0.3716423546770399,0.519,21
CCMSLIB00000851059,CCMSLIB00005721445,0.02,0.5583333333333332,0.4895632066054067,0.4466666666666665,25
CCMSLIB00000855348,CCMSLIB00000852758,0.06,0.3999999999999999,0.3011437082358749,0.4834782608695653,24
CCMSLIB00005721597,CCMSLIB00000849060,0.02,0.3919999999999999,0.305299336892441,0.54,29
CCMSLIB00000845349,CCMSLIB00005721287,0.06,0.5153846153846154,0.4261732680132759,0.4714285714285713,22
CCMSLIB00000845164,CCMSLIB00000847015,0.02,0.525,0.486407090068233,0.4571428571428571,15
CCMSLIB00000848378,CCMSLIB00000849013,0.06,0.6940000000000001,0.6168091359478222,0.5873684210526315,20
CCMSLIB00000848128,CCMSLIB00000846550,0.12,0.6422222222222221,0.5383908096298841,0.5925,17
CCMSLIB00000848668,CCMSLIB00000847186,0.0,0.4494117647058824,0.3438333446108534,0.4765384615384614,53
CCMSLIB00005722357,CCMSLIB00005721911,0.0,0.5628571428571432,0.4640388156894771,0.5176744186046511,44
CCMSLIB00005721228,CCMSLIB00000848164,0.02,0.5153846153846153,0.427250588614595,0.5286956521739129,24
CCMSLIB00000848301,CCMSLIB00000848636,0.06,0.5060000000000001,0.3716423546770399,0.519,21
CCMSLIB00000850489,CCMSLIB00000851841,0.02,0.4499999999999999,0.3038109992565126,0.5488888888888888,37
CCMSLIB00000849089,CCMSLIB00000845947,0.06,0.4739999999999998,0.3358505845505124,0.519,21
CCMSLIB00005721397,CCMSLIB00000847225,0.04,0.68,0.6013656454322113,0.427906976744186,44
CCMSLIB00000848861,CCMSLIB00000847032,0.04,0.5120000000000001,0.4404855245640584,0.5251612903225807,32
CCMSLIB00000845116,CCMSLIB00000846563,0.0,0.5628571428571432,0.4640388156894771,0.5176744186046511,44
CCMSLIB00005721467,CCMSLIB00000848954,0.06,0.5233333333333334,0.3949451468685166,0.44625,33
CCMSLIB00000848217,CCMSLIB00000848682,0.0,0.4163636363636363,0.3374794174493745,0.5416666666666664,37
CCMSLIB00000847819,CCMSLIB00000847787,0.08,0.578,0.4641845556471055,0.5011764705882351,18
CCMSLIB00000853599,CCMSLIB00000851254,0.04,0.6,0.5183467525686847,0.48375,17
CCMSLIB00005722830,CCMSLIB00005721911,0.04,0.4817391304347827,0.3578128421610523,0.4588461538461539,53
CCMSLIB00000847387,CCMSLIB00000847759,0.02,0.5563636363636364,0.471189642114065,0.4670000000000001,21
CCMSLIB00000845056,CCMSLIB00000845060,0.0,0.3633333333333333,0.2973256243098545,0.5038709677419354,32
CCMSLIB00000847789,CCMSLIB00000847144,0.04,0.5919999999999999,0.4841397297834304,0.449,21
CCMSLIB00000848089,CCMSLIB00000845675,0.04,0.5418181818181818,0.4527188293271112,0.494074074074074,28
CCMSLIB00000848079,CCMSLIB00000848931,0.12,0.5219999999999999,0.3682786863288989,0.508181818181818,23
